Alternative,g1,g2,g3,g4,g5,g6,Class
a1,0.333333,1,0,1,0,1,Cl2
a2,0.666667,1,1,0.5,1,0.5,Cl2
a3,0.666667,0.666667,0,0.5,1,0,Cl1
a4,0.666667,0.666667,0.666667,0,0,0,Cl1
a5,0.666667,0,0,1,0,1,Cl2
a6,0,0.333333,1,0,0,0.5,Cl1
a7,0.666667,1,0.666667,1,0,0,Cl1
a8,0,0.333333,1,0.5,0,0,Cl1
a9,0.666667,0.666667,0,0,0.5,0,Cl1
a10,0,0,1,0,0.5,0,Cl1
a11,0.666667,0.666667,1,1,0.5,1,Cl3
a12,0.666667,0,0.666667,1,0,1,Cl2
a13,1,0.666667,0.333333,1,1,1,Cl3
a14,0,0.333333,0.666667,0.5,0.5,0.5,Cl1
a15,1,0,0.666667,0.5,1,0,Cl1
a16,0.333333,1,0.666667,1,0.5,1,Cl3
a17,0,0,0.333333,0.5,0,1,Cl1
a18,0.333333,1,0.666667,0.5,1,1,Cl2
a19,0.333333,0,0.333333,1,0,1,Cl2
a20,0.333333,0.333333,1,1,1,0.5,Cl2
a21,0,0.666667,1,0,0,1,Cl1
a22,0.333333,0.333333,0.333333,0,1,0,Cl1
a23,1,0,0.333333,1,0,1,Cl2
a24,1,0.666667,0.666667,0.5,1,0.5,Cl2
a25,0,0,0,0.5,0,0,Cl1
a26,1,0.333333,1,0,1,1,Cl2
a27,0,0,1,0,1,0.5,Cl1
a28,0,0,0,0,0.5,1,Cl1
a29,0.333333,0,0.333333,1,1,0,Cl1
a30,0.666667,1,0.333333,0.5,1,0,Cl1
a31,0.333333,0,0,1,0.5,1,Cl2
a32,0.666667,0,0,0,1,0.5,Cl1
a33,0.333333,0.666667,0.666667,0,1,1,Cl1
a34,0.666667,0.333333,0,0,1,0.5,Cl1
a35,0,0,1,0.5,0,0,Cl1
a36,0.666667,1,0.666667,1,1,0.5,Cl3
a37,0,0.333333,0,0,0.5,0,Cl1
a38,0.666667,1,0.333333,0.5,0.5,0,Cl1
a39,0,0.666667,0.333333,0.5,0.5,0.5,Cl1
a40,1,1,0,0.5,1,1,Cl3
a41,0.333333,0.333333,0.666667,0,1,0.5,Cl1
a42,0,0,0,0,0,0,Cl1
a43,0.333333,0,0.333333,1,0,0.5,Cl1
a44,0.666667,0.333333,0.666667,0,0.5,1,Cl1
a45,1,0,0,0,0.5,0.5,Cl1
a46,0.333333,1,0,0.5,0.5,1,Cl2
a47,0.666667,1,0.666667,0.5,0.5,0.5,Cl2
a48,1,0.333333,1,0,1,1,Cl2
a49,1,0,0.666667,0.5,1,0.5,Cl1
a50,0.666667,0,0.666667,0,0,0.5,Cl1
a51,0.666667,0.666667,0.333333,1,1,1,Cl3
a52,0.333333,0,1,0,0,0,Cl1
a53,0.666667,1,1,0,0.5,0.5,Cl1
a54,1,0,1,0,0,1,Cl1
a55,1,0.333333,0.333333,0.5,1,0,Cl1
a56,1,0.333333,0.333333,1,0,0.5,Cl2
a57,0,0.666667,0.333333,1,0.5,0,Cl1
a58,0.333333,1,1,0,1,0,Cl1
a59,1,0,1,0.5,1,1,Cl2
a60,0,0.666667,1,1,0.5,0,Cl1
a61,0.333333,0.333333,0.666667,1,0.5,1,Cl2
a62,1,0.666667,1,0.5,0,0,Cl1
a63,1,1,0,0.5,0,0.5,Cl2
a64,0,0.333333,1,0,0,0.5,Cl1
a65,0.666667,1,0.666667,0.5,0,1,Cl2
a66,1,0.666667,1,0,0.5,0,Cl1
a67,0,0,0.666667,0,0.5,0.5,Cl1
a68,0.333333,0.333333,0,0.5,0,0.5,Cl1
a69,1,0.666667,1,0.5,1,0.5,Cl2
a70,1,1,1,0.5,0.5,1,Cl3
a71,1,0.333333,0.333333,0.5,0.5,0.5,Cl1
a72,0.333333,0,0.666667,0,0,0,Cl1
a73,0,0.666667,0.666667,0.5,0,1,Cl1
a74,0.666667,0.666667,1,0.5,0.5,0,Cl1
a75,0.333333,0.333333,0.333333,0.5,0,1,Cl1
a76,0.666667,0,1,0,0.5,0,Cl1
a77,0.666667,0.333333,0,1,1,0,Cl1
a78,0.666667,0.333333,1,0.5,0.5,0.5,Cl1
a79,0.333333,1,0.333333,1,0.5,0,Cl1
a80,0.666667,0.333333,1,0,1,0.5,Cl1
a81,1,0,1,1,0.5,0.5,Cl2
a82,1,0.666667,0.333333,0,0,0,Cl1
a83,0,0,0,0,1,1,Cl1
a84,0.666667,0.666667,0.666667,0.5,1,0.5,Cl2
a85,0.666667,0.333333,0.333333,0.5,0,0,Cl1
a86,0.666667,0.666667,0.666667,0,0,1,Cl1
a87,1,1,0.666667,0.5,1,0,Cl1
a88,0.333333,1,0,1,0,1,Cl2
a89,1,1,1,0.5,1,0,Cl1
a90,0,1,1,1,0,0,Cl1
a91,0.666667,1,1,0.5,0,0.5,Cl1
a92,0.333333,0.666667,0,1,1,1,Cl3
a93,1,1,0,0.5,0.5,0,Cl1
a94,0.666667,0.333333,0.333333,1,1,0,Cl1
a95,0.333333,1,1,0,0,0.5,Cl1
a96,1,0.333333,0,0,1,0.5,Cl1
a97,1,0.333333,1,0,0.5,0.5,Cl1
a98,0.666667,0.666667,0,1,0.5,1,Cl3
a99,1,0,0.666667,0,0,1,Cl1
a100,0,1,0.333333,0.5,0,1,Cl1
a101,0,0.666667,1,1,1,1,Cl3
a102,0.333333,0.333333,0.666667,0.5,0,1,Cl1
a103,0.333333,0.333333,0,0,0.5,0.5,Cl1
a104,0.666667,0.333333,0.666667,0,0,0.5,Cl1
a105,0.666667,0.333333,0.333333,0.5,1,1,Cl2
a106,0.333333,1,0.333333,0,0,0,Cl1
a107,0,0,0,0.5,1,1,Cl1
a108,1,0.666667,1,0,0,0,Cl1
a109,0.666667,0.666667,0.333333,0,0.5,0.5,Cl1
a110,0,0.333333,0,1,0,1,Cl2
a111,0,0.666667,1,1,0,0,Cl1
a112,0.666667,0,1,0.5,0.5,0.5,Cl1
a113,0.333333,0.333333,1,1,0,0.5,Cl1
a114,0,0.666667,0.666667,0,1,0.5,Cl1
a115,0.666667,0.666667,0,0.5,0.5,1,Cl2
a116,0,0.333333,0.333333,0.5,0,0,Cl1
a117,1,0.333333,1,0,0,1,Cl1
a118,1,0.333333,1,1,0.5,0.5,Cl2
a119,0,0.666667,0,1,1,0,Cl1
a120,0,0.666667,0.333333,1,1,1,Cl2
a121,0.333333,1,1,0.5,1,0.5,Cl2
a122,0.666667,0.333333,0.666667,1,0,0,Cl1
a123,1,0,1,1,1,0.5,Cl2
a124,0.666667,0.333333,0.666667,0.5,0,0.5,Cl1
a125,0,0.333333,0,1,0.5,1,Cl2
a126,1,0.333333,1,0.5,0,0,Cl1
a127,0.666667,0.333333,0,1,1,0.5,Cl2
a128,0,0,0.333333,0,0.5,1,Cl1
a129,1,0.666667,1,1,0,1,Cl3
a130,1,0.333333,0.333333,0.5,0.5,0,Cl1
a131,0,0.333333,0.666667,1,1,0.5,Cl1
a132,1,0.666667,1,0.5,1,0.5,Cl2
a133,1,0,0,0.5,1,0,Cl1
a134,0.666667,1,0,0.5,1,0,Cl1
a135,0.333333,0.666667,0.333333,1,0,0,Cl1
a136,1,0.333333,0.666667,1,0,0.5,Cl2
a137,0,0,1,1,0,0,Cl1
a138,0.666667,0,1,0.5,0,0,Cl1
a139,1,0,0.333333,0,0,0.5,Cl1
a140,1,1,0,0,0.5,0.5,Cl1
a141,0.666667,0.666667,0,0.5,0.5,0,Cl1
a142,0.333333,0,1,0,1,0.5,Cl1
a143,0.333333,0.333333,1,0.5,0,0.5,Cl1
a144,0.333333,0.666667,0,0,0.5,0.5,Cl1
a145,1,0,0,0,0,0,Cl1
a146,1,1,0,1,0.5,0.5,Cl3
a147,0.666667,0.666667,0,0,1,1,Cl2
a148,1,0.333333,0.333333,1,0.5,0,Cl1
a149,0.333333,0.666667,0,0,0,0,Cl1
a150,0,0,0.666667,0.5,0,1,Cl1
a151,0.333333,0,0.333333,1,0,1,Cl2
a152,0.666667,0,0.666667,1,0,1,Cl2
a153,0.333333,1,0.333333,0,0.5,0.5,Cl1
a154,0.333333,0,0.666667,1,0,0.5,Cl1
a155,0.666667,1,1,0.5,0.5,0.5,Cl2
a156,0.666667,0.666667,0.333333,0,0,0.5,Cl1
a157,0.666667,0.666667,0,0.5,0.5,1,Cl2
a158,0.666667,0,0,0.5,1,0,Cl1
a159,0,0,0,0.5,0,0.5,Cl1
a160,0,0.333333,1,0,1,0.5,Cl1
a161,0.333333,0.333333,0.333333,0,0,0,Cl1
a162,0,0.333333,0.333333,0.5,0,0.5,Cl1
a163,0,0.333333,0.333333,0.5,0,0.5,Cl1
a164,0.333333,0.666667,0.666667,0.5,0,1,Cl2
a165,1,0,1,1,0,0,Cl1
a166,0,0.666667,0.333333,1,0.5,1,Cl2
a167,0,0.666667,0.666667,1,0,1,Cl2
a168,1,0,0,0,0,0,Cl1
a169,0.666667,0.333333,0.333333,0.5,0.5,0.5,Cl1
a170,1,1,1,0,1,0.5,Cl2
a171,1,1,1,0.5,1,0,Cl1
a172,1,1,1,1,0.5,1,Cl3
a173,1,1,0.333333,1,1,0.5,Cl3
a174,0,0.333333,0.666667,1,0.5,0,Cl1
a175,0.666667,0.333333,1,0,0,0,Cl1
a176,0.333333,1,0.666667,0,0,0,Cl1
a177,1,1,1,1,0,0.5,Cl2
a178,0,1,1,0,0.5,0.5,Cl1
a179,0.333333,0.333333,0,1,0,0.5,Cl1
a180,0.666667,0.333333,1,0,1,0.5,Cl1
a181,0.333333,0.666667,0.666667,0,1,0.5,Cl1
a182,0.333333,0,0.333333,1,0,1,Cl2
a183,0.333333,0.666667,0,0,0.5,0,Cl1
a184,1,0,0,0,1,0,Cl1
a185,0.666667,0.333333,1,1,0,1,Cl2
a186,0.333333,1,0.333333,1,1,0,Cl1
a187,1,0,1,0,0,1,Cl1
a188,0.666667,0.333333,0,0.5,0,1,Cl1
a189,0.666667,1,0,0.5,0.5,0,Cl1
a190,0.333333,1,1,1,0.5,0,Cl1
a191,0,0.333333,0.666667,0,0,0.5,Cl1
a192,0.333333,0,0,0.5,1,1,Cl1
a193,0,0.333333,1,0.5,0.5,1,Cl1
a194,0,0.666667,1,1,0,0,Cl1
a195,0.666667,0.666667,0.666667,0.5,0,1,Cl2
a196,1,0.333333,1,0,0.5,0.5,Cl1
a197,0.333333,0,0.666667,1,0.5,0.5,Cl1
a198,0,1,0,0.5,1,0.5,Cl1
a199,0.666667,1,0.333333,0,1,1,Cl2
a200,0.333333,0.333333,0.333333,0.5,0.5,0,Cl1
a201,1,1,1,1,1,0,Cl2
a202,1,0,1,1,0.5,0.5,Cl2
a203,0,1,1,0,0.5,0.5,Cl1
a204,0.666667,0.666667,1,0.5,0.5,1,Cl2
a205,0,0.666667,0.333333,1,0,1,Cl2
a206,0.666667,1,0.333333,0.5,1,0,Cl1
a207,0.333333,0.666667,0.333333,0,0,0,Cl1
a208,0.666667,0,0,0,1,0.5,Cl1
a209,1,0,0.666667,0,1,0,Cl1
a210,0,1,1,0.5,0,1,Cl2
a211,0.666667,0,0.333333,0,1,0,Cl1
a212,0.666667,0.333333,1,0,0,1,Cl1
a213,0.666667,0.666667,0.666667,1,0.5,0,Cl1
a214,0.666667,0.333333,0,1,0.5,0,Cl1
a215,1,0,0,0,1,0,Cl1
a216,0.333333,0,0.666667,0.5,0,1,Cl1
a217,0,0.666667,1,0,0,0,Cl1
a218,1,1,1,0,1,0.5,Cl2
a219,0.666667,0.333333,0.666667,1,1,1,Cl3
a220,1,0,1,0,0.5,1,Cl1
a221,0.666667,1,0.666667,0,0.5,0,Cl1
a222,0,1,1,0.5,0.5,0.5,Cl1
a223,0.666667,0.666667,0,0.5,0.5,0,Cl1
a224,1,0.666667,0.666667,0.5,0,0.5,Cl1
a225,0.666667,1,0.333333,1,0.5,0,Cl1
a226,0.333333,0.333333,0,0,0.5,0.5,Cl1
a227,0,0.666667,0.666667,1,0,0,Cl1
a228,0.666667,0,0,0.5,0,0,Cl1
a229,1,0,0.333333,0.5,0,0,Cl1
a230,1,0,0,0,0,1,Cl1
a231,0.666667,0.666667,1,1,0.5,0.5,Cl2
a232,0.333333,0.666667,0,0,1,0,Cl1
a233,0.666667,1,0.333333,0,1,1,Cl2
a234,0.333333,0.666667,0.666667,1,0,0.5,Cl2
a235,0,0.333333,0.666667,0,0.5,0,Cl1
a236,0.666667,0,0,0,0.5,1,Cl1
a237,0.333333,1,0.333333,0.5,1,0,Cl1
a238,0.333333,0.333333,0,0,0.5,1,Cl1
a239,0.333333,0,0.333333,0.5,0,0.5,Cl1
a240,0.666667,0.333333,0.333333,0.5,0.5,0,Cl1
a241,0,0.333333,0.666667,1,1,0,Cl1
a242,0.333333,0,0,0.5,1,1,Cl1
a243,1,0.666667,0.666667,0.5,1,1,Cl3
a244,0.333333,0.666667,0.666667,0,0,0,Cl1
a245,1,0.666667,1,0.5,0,0,Cl1
a246,0,0.333333,0.333333,0.5,1,0.5,Cl1
a247,0.333333,1,0.666667,0,1,0,Cl1
a248,0.333333,0,0,1,0.5,1,Cl2
a249,1,0.333333,0.333333,1,0.5,0,Cl1
a250,0,0.666667,0,0.5,1,0,Cl1
a251,0.333333,0,1,0,0.5,0.5,Cl1
a252,1,0,0.333333,0.5,0,1,Cl2
a253,1,0.666667,1,0.5,0,1,Cl2
a254,0.333333,0.666667,0.666667,1,0,0,Cl1
a255,0,1,0.333333,0,1,1,Cl1
a256,0.666667,0.666667,0.666667,0.5,0.5,0.5,Cl1
a257,0.333333,1,0.666667,0,0.5,0,Cl1
a258,0,0.666667,0.333333,0,0.5,0.5,Cl1
a259,0.333333,0.666667,0.666667,1,1,0.5,Cl2
a260,0,0,1,0.5,1,0,Cl1
a261,0.333333,0.666667,0,0,1,1,Cl1
a262,0.333333,0.333333,0.666667,0.5,1,1,Cl2
a263,0.333333,0.333333,0.666667,0.5,1,1,Cl2
a264,0,0.666667,0,0,0.5,1,Cl1
a265,1,0.666667,0,1,0,0.5,Cl2
a266,0.333333,0.666667,0.333333,1,0,0,Cl1
a267,0.333333,1,1,0,0.5,0,Cl1
a268,0,0,1,0.5,1,0,Cl1
a269,0,0.666667,1,0.5,0,0,Cl1
a270,0.333333,1,1,1,1,0.5,Cl2
a271,0.666667,0.666667,0,1,0.5,1,Cl3
a272,1,0.333333,1,0,0.5,0,Cl1
a273,1,1,1,0,1,1,Cl2
a274,0.333333,0,1,0,1,1,Cl1
a275,0.666667,0.666667,0,0,0,0,Cl1
a276,0.333333,0,0,0,1,0,Cl1
a277,0.333333,0.333333,0.333333,1,0,0.5,Cl1
a278,0,0.666667,0,0.5,1,0.5,Cl1
a279,0,0.333333,0.333333,0.5,1,1,Cl1
a280,0.333333,0.333333,0.333333,1,1,1,Cl2
a281,1,1,0.666667,1,1,0,Cl2
a282,0,0,0.333333,1,0.5,0.5,Cl1
a283,0,0,0.333333,1,1,1,Cl2
a284,0,0.333333,0,1,0,0,Cl1
a285,1,1,0.666667,0.5,1,0.5,Cl2
a286,0,0.333333,0,0,0.5,0.5,Cl1
a287,0,0,0,0,0.5,0,Cl1
a288,1,0.666667,1,1,0,0,Cl1
a289,1,0,1,0.5,1,0.5,Cl1
a290,0.666667,1,1,0,1,0,Cl1
a291,0.333333,0.666667,0,0,0.5,0.5,Cl1
a292,0.666667,0.666667,0.666667,0.5,1,0.5,Cl2
a293,0.333333,0.333333,0,1,0.5,0,Cl1
a294,0,0.333333,0.666667,0,1,0,Cl1
a295,0,0,1,1,0,0.5,Cl1
a296,0,0.666667,0.333333,0,0,1,Cl1
a297,0.333333,0.333333,1,1,1,0.5,Cl2
a298,0.666667,0,1,0.5,1,0.5,Cl1
a299,0,1,0,0,0.5,1,Cl1
a300,0.666667,0,0,1,0.5,1,Cl2
a301,0,0.666667,0.666667,0.5,0,1,Cl1
a302,0,1,0,1,0,0,Cl1
a303,1,1,1,0.5,0,0.5,Cl2
a304,1,0,0,0,1,1,Cl1
a305,1,1,1,1,0,0.5,Cl2
a306,0,1,0.333333,0.5,0,0,Cl1
a307,0.666667,0.333333,0.333333,0.5,1,0,Cl1
a308,1,1,0.666667,0.5,1,1,Cl3
a309,0,1,0,1,1,0.5,Cl2
a310,1,1,0,0,0.5,1,Cl2
a311,0.333333,0.333333,0.333333,0.5,1,1,Cl2
a312,0.333333,0,0.333333,0.5,0.5,0,Cl1
a313,1,0.333333,1,0.5,1,0.5,Cl2
a314,0.333333,0.333333,1,0,1,1,Cl1
a315,0.666667,0.333333,0.666667,0,0,1,Cl1
a316,1,0.666667,0,0.5,0.5,0,Cl1
a317,0.333333,0.666667,0,1,1,0.5,Cl2
a318,0.666667,0,0,1,0.5,0.5,Cl1
a319,0.333333,0,0,0,1,1,Cl1
a320,0,0,0.666667,0.5,1,1,Cl1
a321,0,0.333333,0.666667,0.5,0,0.5,Cl1
a322,0.333333,0.333333,0.333333,0.5,0.5,0,Cl1
a323,0.666667,1,0.666667,0,0,0.5,Cl1
a324,1,0,0.333333,0.5,0.5,0.5,Cl1
a325,0,0.333333,0.333333,0,0,0,Cl1
a326,0,0.666667,0,0,1,1,Cl1
a327,0.666667,0.333333,0.333333,0.5,0,0,Cl1
a328,1,0.333333,0.666667,1,1,0,Cl2
a329,0,0,1,0,1,1,Cl1
a330,0.333333,0.333333,0.333333,0.5,1,0.5,Cl1
a331,0,0,1,0.5,0.5,0,Cl1
a332,0.333333,0,0,1,0,1,Cl2
a333,0.333333,1,0,0.5,0,0.5,Cl1
a334,1,0.666667,0.666667,1,1,0.5,Cl3
a335,0,1,0.666667,0,1,1,Cl1
a336,1,0.666667,0.666667,0,0,0,Cl1
a337,0,0.333333,0.666667,0.5,0,0,Cl1
a338,0.333333,0.666667,0.333333,0,1,1,Cl1
a339,1,0.333333,1,1,1,1,Cl3
a340,1,0.333333,1,0,0,0.5,Cl1
a341,1,1,0.333333,0.5,1,1,Cl3
a342,1,0,0.666667,0,1,1,Cl1
a343,1,1,0.666667,0.5,0,1,Cl3
a344,0.666667,0,0,0,1,1,Cl1
a345,1,1,0.666667,0.5,0,1,Cl3
a346,0.666667,0,0.333333,0,1,0.5,Cl1
a347,0.333333,0,0.666667,0,0,0.5,Cl1
a348,0.333333,0.333333,0.666667,1,1,0,Cl1
a349,0.333333,0.666667,0.666667,1,1,0,Cl1
a350,1,1,0,0.5,0,0,Cl1
a351,0,0,0.333333,0.5,0,0,Cl1
a352,0.333333,0.333333,0,1,0.5,0.5,Cl1
a353,1,0.333333,0,1,1,0,Cl1
a354,0.666667,0.333333,0.666667,0,0.5,1,Cl1
a355,0.333333,0.333333,0,0,0,0,Cl1
a356,0,0.333333,0.666667,0,0,1,Cl1
a357,1,0.666667,0.333333,1,0.5,0.5,Cl2
a358,0,0.333333,1,1,1,0,Cl1
a359,0,0.666667,0,0,1,0.5,Cl1
a360,0.333333,0,1,0.5,1,1,Cl2
a361,0.666667,0.666667,1,0.5,1,0.5,Cl2
a362,0.333333,1,0.333333,0.5,1,0,Cl1
a363,0.666667,0,0.666667,0.5,0,0,Cl1
a364,1,0.333333,0,0.5,0,1,Cl2
a365,1,1,0.666667,0,0.5,1,Cl2
a366,0.666667,0.333333,0.666667,0.5,1,0,Cl1
a367,1,0.666667,0.333333,1,0.5,0,Cl1
a368,1,0.333333,1,0.5,0.5,1,Cl2
a369,0,1,0.666667,0.5,0.5,0.5,Cl1
a370,0.333333,1,0,0,1,0.5,Cl1
a371,0.333333,0.333333,0.666667,1,0.5,0,Cl1
a372,0.333333,0.666667,0.666667,0,0.5,0.5,Cl1
a373,0,0.666667,1,1,0,0,Cl1
a374,0,1,1,1,0,0.5,Cl2
a375,0,0.333333,0,0.5,0.5,0.5,Cl1
a376,0,0.333333,1,1,0,0,Cl1
a377,0,1,0.333333,0,0.5,0.5,Cl1
a378,0.666667,0.333333,0.333333,0,1,0.5,Cl1
a379,0,0.333333,0.333333,1,1,0.5,Cl1
a380,0,0.333333,0,0.5,1,0,Cl1
a381,1,1,0.666667,1,0,1,Cl3
a382,0,0,0.333333,0.5,0.5,0.5,Cl1
a383,1,0,1,0.5,0.5,1,Cl2
a384,0.666667,0,1,0,0.5,1,Cl1
a385,1,0.666667,0,1,0,1,Cl3
a386,0,1,0,0,1,0,Cl1
a387,1,0,0.333333,1,0.5,0.5,Cl2
a388,1,0,0.333333,0,0.5,0,Cl1
a389,0.666667,1,0,0.5,1,0,Cl1
a390,0,0.666667,0.333333,0,0,0.5,Cl1
a391,0.333333,0,0,0.5,0,0.5,Cl1
a392,0.666667,1,1,0,0.5,1,Cl2
a393,1,0.666667,0,1,0,1,Cl3
a394,0.666667,0,0.333333,1,0.5,1,Cl2
a395,0.333333,0,0,1,0,0.5,Cl1
a396,0,0.666667,0,1,1,0.5,Cl2
a397,1,0,0.666667,1,0,0,Cl1
a398,0,0.333333,0,1,0,1,Cl2
a399,0.666667,0.333333,0.666667,0,0,0,Cl1
a400,0,0.666667,0,0.5,0,0,Cl1
a401,0.333333,0,0.666667,0,1,0.5,Cl1
a402,0,0.333333,0.333333,0,1,0.5,Cl1
a403,0.666667,1,0.333333,1,0.5,1,Cl3
a404,0,1,0.666667,0.5,0.5,0.5,Cl1
a405,1,0.333333,0.666667,0,1,0.5,Cl1
a406,0,0.333333,0,0.5,1,1,Cl1
a407,0,0.333333,1,1,1,0.5,Cl1
a408,0.666667,0.333333,1,1,1,0,Cl1
a409,0,0.333333,0,1,1,0,Cl1
a410,1,0.666667,0,0,0,0,Cl1
a411,1,1,0.666667,0,0,0.5,Cl1
a412,0.666667,1,1,0,1,0.5,Cl1
a413,0,1,0.333333,0,0.5,0.5,Cl1
a414,0.666667,0.333333,0.333333,0,0.5,0,Cl1
a415,0.333333,0.666667,1,0.5,0.5,1,Cl2
a416,0,1,0.666667,0.5,1,1,Cl2
a417,0.333333,0,0.333333,0.5,0.5,0,Cl1
a418,0.333333,0.666667,0.333333,0,0,0,Cl1
a419,0,1,1,0,0.5,1,Cl1
a420,0.666667,0.333333,0.333333,1,0.5,1,Cl3
a421,0,0.666667,0,1,0,0.5,Cl1
a422,0,0.333333,0.333333,0.5,1,1,Cl1
a423,0.333333,0.666667,0,0.5,1,0,Cl1
a424,0.666667,1,0.333333,0,0.5,1,Cl2
a425,0,0.666667,1,0,0,0.5,Cl1
a426,1,1,1,1,0,0,Cl2
a427,0.666667,0,0.666667,1,0,0.5,Cl1
a428,0.666667,1,0.333333,1,0,1,Cl3
a429,1,1,0,0.5,1,0,Cl1
a430,0,0,1,0,0.5,0,Cl1
a431,0.333333,1,0.333333,0,1,1,Cl2
a432,0,1,0,0,0.5,0,Cl1
a433,1,1,0,1,0,0,Cl1
a434,0.333333,0.333333,0,0,1,0.5,Cl1
a435,0.333333,0.666667,0.666667,0,0.5,0.5,Cl1
a436,0.333333,0.666667,1,0.5,1,0,Cl1
a437,0,1,0.333333,0,1,1,Cl1
a438,0.666667,0.666667,0,0.5,1,0,Cl1
a439,0.333333,0.666667,1,0,1,0.5,Cl1
a440,0.333333,0.333333,0.666667,1,0,1,Cl2
