Alternative,g1,g2,g3,g4,g5,g6,g7,g8,Class
a1,0.666667,0.151163,0.666667,0.8,0.090116,0.5,0,1,Cl2
a2,0.333333,0.238372,0.166667,0.6,0.110465,0.5,0.333333,0,Cl1
a3,1,0.037209,0.333333,0.6,0.180233,0.5,1,0,Cl1
a4,0.333333,0.023256,0.5,0.2,0.107558,0.5,1,1,Cl1
a5,0,0.415116,0,0.4,0.122093,0.5,1,0.5,Cl1
a6,0.666667,0.77907,0.166667,1,0.133721,0.5,0.333333,0.5,Cl2
a7,1,0.5,1,0.2,0.084302,1,1,0,Cl1
a8,0,0.094186,0.333333,0.4,0.354651,0.5,1,1,Cl2
a9,0.666667,0.284884,0.333333,0.8,0.174419,0,0,0.5,Cl2
a10,0,0.134884,0.833333,0.8,0.476744,1,1,0,Cl2
a11,0.333333,0.276744,0,0.6,0.107558,1,0.666667,0.5,Cl1
a12,0,0.094186,0.333333,0.8,0.075581,0.5,0,0.5,Cl1
a13,0.333333,0.075581,0.333333,0.2,0.110465,1,1,1,Cl1
a14,1,0.77907,1,0.6,0.107558,1,0.666667,0,Cl2
a15,0,0.284884,0.333333,0.4,0.119186,0.5,0.666667,0.5,Cl1
a16,1,0.183721,1,1,0.145349,1,0,1,Cl2
a17,0,0.452326,0.333333,0.2,0.069767,0.5,0,1,Cl1
a18,1,0.145349,0.833333,0.4,0.075581,1,1,0,Cl1
a19,1,0.144186,0.166667,0,0.244186,0.5,1,0,Cl1
a20,0,0.218605,0.5,0.8,0.078488,0,0.333333,1,Cl2
a21,0.666667,0.331395,0.166667,0.8,0.02907,1,0.333333,1,Cl2
a22,1,0.127907,0.333333,0.4,0.005814,1,0,0,Cl1
a23,0,0.068605,1,1,0.156977,0.5,0.333333,0,Cl2
a24,0,0.180233,0.333333,1,0.133721,0,0.333333,0,Cl1
a25,0,0.046512,0.5,0.6,0.113372,0,0.333333,1,Cl2
a26,0.666667,0.087209,0.666667,1,0.122093,0,0,0.5,Cl2
a27,0,0.098837,0,0.8,0.040698,1,0.333333,0,Cl1
a28,0,0.125581,0,0.2,0.081395,1,0,0.5,Cl1
a29,1,0.213953,1,0.6,0.15407,0.5,0.666667,1,Cl2
a30,0,0.331395,0.833333,0.8,0.116279,0,0.666667,0,Cl1
a31,0.333333,0.05814,1,0.4,0.313953,0,0,0,Cl1
a32,0.666667,0.093023,0.5,0.6,0.186047,0,0.333333,0,Cl1
a33,0.666667,0.276744,0.166667,0.8,0.075581,0.5,0.333333,0,Cl1
a34,0.333333,0.674419,0.333333,0.6,0.15407,1,0.333333,0,Cl2
a35,0.333333,0.180233,0.5,0.6,0.215116,1,0.333333,0,Cl1
a36,0,0.223256,0.833333,0,0.273256,0,0,0.5,Cl1
a37,1,0.232558,0,0.4,0.165698,0.5,1,0,Cl1
a38,1,0.284884,0.5,0,0.30814,0.5,0,0,Cl1
a39,0.333333,0.017442,0.833333,0.8,0.072674,1,0.666667,0,Cl1
a40,0,0.063953,0.333333,0.2,0.084302,1,0.333333,1,Cl1
a41,1,0.753488,0.5,0.6,0.034884,0.5,0.666667,1,Cl2
a42,0.666667,0.174419,0.5,0.6,0.005814,0.5,1,1,Cl2
a43,1,0.063953,0,0.8,0.040698,0,1,0.5,Cl2
a44,0,0.331395,0.666667,0.4,0.354651,1,0.333333,0,Cl1
a45,1,0.773256,1,0.6,0.180233,0,0.333333,0.5,Cl2
a46,1,0.023256,0,0.6,0.313953,0.5,0.333333,0.5,Cl2
a47,1,0.366279,1,0.8,0.069767,1,1,0.5,Cl2
a48,0.333333,1,0.666667,0.8,1,1,0.666667,1,Cl2
a49,0.333333,0.674419,0.166667,0,0.127907,0.5,0.333333,0,Cl1
a50,1,0.238372,0.833333,0.8,0.476744,1,0.333333,1,Cl2
a51,0.333333,0.327907,0.833333,1,0.005814,1,1,0,Cl2
a52,0.666667,1,0.333333,0,0.313953,1,1,0,Cl1
a53,0.666667,0.447674,0.333333,0,0.165698,0,0.666667,1,Cl1
a54,0,0.25814,0.333333,0,0.34593,0.5,0,0,Cl1
a55,0.666667,0.1,0.5,0.8,0.017442,1,1,0.5,Cl2
a56,0.333333,0.127907,0,0.8,0.061047,0,0.666667,0.5,Cl1
a57,0,0.223256,1,0.8,0.145349,1,0.333333,1,Cl2
a58,0.333333,0.960465,0.5,1,0.155814,0.5,0.666667,0,Cl2
a59,0.333333,0.023256,0.666667,0,0.116279,0,0.666667,1,Cl1
a60,0.666667,0.123256,0.833333,1,0.081395,0.5,0.333333,0.5,Cl2
a61,0,0.145349,0.666667,0,0.165698,1,1,1,Cl1
a62,0,0.074419,0.166667,1,0.093023,1,0.666667,0,Cl1
a63,0.666667,0.081395,0.333333,0.4,0.093023,0,0.666667,1,Cl2
a64,0.666667,0.213953,0.333333,1,0.110465,0.5,0.333333,0.5,Cl2
a65,1,0,0.333333,0.6,0.104651,0.5,0,1,Cl2
a66,1,0.005814,0.5,0.8,0.09593,0.5,1,1,Cl2
a67,1,0.333721,1,0.4,0,1,0.333333,0.5,Cl2
a68,0,0.169767,0.333333,0.6,0.19186,0,0.666667,0.5,Cl1
a69,0.666667,0.023256,1,0.6,0.139535,0.5,0,0.5,Cl2
a70,1,0.674419,0.333333,0,0.155814,0,0,0,Cl1
a71,0,0.366279,0.666667,0.6,0.023256,0.5,1,0,Cl1
a72,0.666667,0.074419,0.333333,0.6,0.180233,0.5,1,0,Cl1
a73,0.333333,0,0.833333,0,0.084302,0,0.333333,0,Cl1
a74,0,0.011628,0,0,0.113372,0,1,0,Cl1
a75,0,0.123256,0.166667,0.6,0,0.5,0.333333,0.5,Cl1
a76,1,0,0.833333,0.6,0.30814,0,0.666667,0,Cl1
a77,0.666667,0.452326,0.833333,0.8,0.165698,0,1,0.5,Cl2
a78,0.333333,0.47093,0.166667,0,0.174419,1,0.666667,0,Cl1
a79,1,0.094186,1,0,0.19186,0,0.666667,0,Cl1
a80,1,0.068605,0.666667,0.6,0.273256,0.5,0,0,Cl1
a81,0.666667,0.960465,1,0.8,0.186047,1,0.666667,0,Cl2
a82,1,0.145349,0.166667,0,0.090116,1,0.333333,1,Cl1
a83,1,0.447674,1,0.8,0.142442,0.5,0.333333,0.5,Cl2
a84,1,0.960465,1,0.6,0.005814,0,0,0.5,Cl2
a85,0.333333,0.154651,0,1,0.133721,1,0.333333,1,Cl2
a86,0.666667,0.447674,0.333333,0.8,0.200581,1,0,0.5,Cl2
a87,1,0.125581,0.166667,0.8,0.476744,1,0.333333,0,Cl2
a88,0,0.674419,0.166667,1,0.133721,0.5,0,1,Cl2
a89,0,0.018605,1,0.4,0.148256,1,1,0.5,Cl1
a90,0.333333,0.126744,0.833333,0.8,0.139535,0,1,1,Cl2
a91,0,0.183721,0.5,0.4,0.30814,1,0.333333,0,Cl1
a92,0.666667,0.032558,0.666667,0.6,0.049419,0.5,0.666667,0,Cl1
a93,0.666667,0.184884,0,0.6,0.011628,0.5,0.333333,1,Cl2
a94,0.333333,0.072093,0.5,1,0.186047,0.5,0,0.5,Cl2
a95,0,0.065116,1,0.6,0.093023,0,0.333333,0.5,Cl1
a96,1,0.297674,0.333333,0.6,0.19186,1,0,1,Cl2
a97,1,0.209302,0,0,0.110465,1,1,1,Cl1
a98,0,0.098837,0.833333,1,1,1,0.333333,0,Cl2
a99,1,0.452326,0,0.4,0.081395,0,0.666667,0.5,Cl2
a100,1,0.253488,0.5,0.6,0.313953,1,1,0.5,Cl2
a101,0,0.005814,0.333333,0,0.145349,0,1,1,Cl1
a102,0.666667,0.5,0.5,0.6,0.273256,0.5,0.666667,0,Cl2
a103,0.333333,0.253488,0.833333,0.4,0.796512,0,1,0,Cl1
a104,0.666667,0.084884,0,1,0.162791,0,1,0,Cl1
a105,0.666667,0.27907,0.833333,0.8,0.034884,0.5,0.666667,0.5,Cl2
a106,1,0.415116,0.666667,0.6,0.02907,0.5,1,0.5,Cl2
a107,0.666667,0.173256,0,0.4,0.040698,0,0.666667,0,Cl1
a108,1,0.003488,1,0.4,0.049419,0,0,0,Cl1
a109,0.333333,0.223256,1,0,0.110465,0,0,1,Cl1
a110,0.333333,0.218605,0,0.4,0.005814,0,0,0.5,Cl1
a111,1,0.276744,0.166667,1,0.078488,0.5,0.333333,0,Cl2
a112,1,0.753488,0,0.8,0.113372,0,1,0,Cl2
a113,0.333333,0.184884,1,0.6,0.093023,0,0.666667,0.5,Cl2
a114,0.333333,0.447674,0,1,0.061047,0.5,1,0.5,Cl2
a115,0.666667,0.47093,1,0.2,0.090116,1,0,1,Cl2
a116,1,0.093023,0.166667,0.2,0.139535,1,0.333333,0,Cl1
a117,0.333333,0.151163,0.833333,0.8,0.02907,0.5,1,1,Cl2
a118,0.666667,0.184884,0.666667,0.6,0.052326,0.5,1,1,Cl2
a119,1,0.297674,0.666667,1,0.072674,0.5,0.333333,0,Cl2
a120,1,0.213953,0.166667,1,0.276163,0,1,0,Cl2
