Alternative,g1,g2,g3,g4,g5,Class
a1,0.054545,0.230769,1,0.75,0,Cl1
a2,0,0.358974,0.666667,0.75,0,Cl1
a3,0.109091,0.846154,0,0.75,1,Cl2
a4,1,0.115385,1,0.75,1,Cl2
a5,0.036364,0.307692,1,0.25,0.333333,Cl1
a6,0.036364,0.076923,0.333333,0.25,1,Cl1
a7,0.090909,0.435897,0,0,0.666667,Cl1
a8,0.072727,0.423077,1,0.5,1,Cl2
a9,0.109091,0.153846,0.666667,1,0.666667,Cl2
a10,0,0.474359,1,0.25,0.666667,Cl2
a11,0,0.589744,0,0,0.666667,Cl1
a12,0.090909,0.692308,1,0.5,0.666667,Cl2
a13,0,0.346154,1,0.5,0,Cl1
a14,1,0.641026,0.666667,0.25,0.333333,Cl2
a15,0.090909,0.205128,0.333333,0.5,0,Cl1
a16,0.090909,0.205128,0.666667,0.5,0.333333,Cl1
a17,0,0.179487,0,0.25,0.666667,Cl1
a18,0.090909,0,0,0.5,1,Cl1
a19,0.109091,0.448718,0.333333,0.75,0.333333,Cl1
a20,1,0.358974,0,0.5,1,Cl2
a21,0.109091,0.705128,1,0.75,1,Cl2
a22,0,0.461538,0.333333,0,0.666667,Cl1
a23,0.109091,0.871795,0.666667,1,0.666667,Cl2
a24,1,0.166667,0.666667,0,0,Cl1
a25,0,0.564103,0.666667,1,0.333333,Cl2
a26,0.054545,0.538462,0,1,1,Cl2
a27,0.072727,0.089744,1,0.25,0.333333,Cl1
a28,0.090909,0.230769,1,0.75,0,Cl1
a29,0.109091,0.166667,1,0.5,0.333333,Cl1
a30,0,0.166667,1,0.25,1,Cl1
a31,0.036364,0.333333,1,0,0,Cl1
a32,0.090909,0.384615,0,0.5,1,Cl1
a33,1,0.410256,1,0.5,0.333333,Cl2
a34,0.054545,0.012821,1,0.5,0,Cl1
a35,0.109091,0.423077,0.666667,0.5,0.333333,Cl1
a36,0.054545,0.782051,0.333333,0,0,Cl1
a37,0.072727,0.217949,1,0,1,Cl1
a38,0.036364,0.25641,1,0,0.333333,Cl1
a39,0.036364,0.75641,1,1,0.666667,Cl2
a40,0.072727,0.294872,1,0.5,0,Cl1
a41,0,0.769231,0.333333,0.75,0,Cl2
a42,0.090909,0.858974,0,0.75,0.333333,Cl2
a43,0,0.884615,0,0.25,0.333333,Cl1
a44,0,0.076923,0.666667,0.25,0,Cl1
a45,1,0.371795,1,0.75,0.666667,Cl2
a46,0,0.807692,0.333333,0.75,0,Cl2
a47,0.036364,0.371795,0.666667,0,1,Cl1
a48,0.090909,0.576923,0.666667,0,1,Cl1
a49,1,0.166667,0,0.75,0.666667,Cl1
a50,0,0.833333,0,0.75,1,Cl2
a51,0.090909,0.179487,1,1,1,Cl2
a52,0.072727,0.307692,1,0.5,0.333333,Cl1
a53,0.054545,0.884615,0.666667,0.75,0.333333,Cl2
a54,0.036364,0.589744,0,0,0,Cl1
a55,0.090909,0.666667,1,0.25,0.666667,Cl2
a56,0.109091,0.487179,0.333333,0,0.333333,Cl1
a57,0.054545,0.217949,0.333333,0,1,Cl1
a58,0,0.641026,1,0.25,1,Cl2
a59,0.072727,0.512821,0,0.5,0.333333,Cl1
a60,0.072727,0.615385,0.666667,1,0,Cl2
a61,0.036364,0.166667,0.666667,0,1,Cl1
a62,0,0.512821,0,1,0,Cl1
a63,0.036364,0.525641,0.666667,0.75,1,Cl2
a64,0.054545,0.705128,1,0.75,0.666667,Cl2
a65,1,0.115385,0,0.5,0.666667,Cl1
a66,0.109091,0.448718,0.333333,0.25,0,Cl1
a67,1,0.076923,0.333333,1,1,Cl2
a68,0.054545,0.705128,0,0.75,0.333333,Cl2
a69,0.054545,0.192308,1,0.5,0.666667,Cl1
a70,0.090909,0.833333,0.333333,0,0.333333,Cl1
a71,0.109091,0.564103,1,0,0,Cl1
a72,0.036364,0.474359,0.666667,0.5,0.666667,Cl2
a73,0.072727,0.24359,0.666667,0.5,1,Cl1
a74,0.072727,0.589744,1,1,1,Cl2
a75,0,0.320513,0.333333,0.5,0.333333,Cl1
a76,1,0.782051,0.333333,0.25,0,Cl2
a77,0.036364,0.666667,1,0.25,0.666667,Cl2
a78,0.054545,0.782051,0,0,0.666667,Cl1
a79,0.054545,0.371795,0.333333,0.5,0.333333,Cl1
a80,0,0.448718,0.666667,0.75,1,Cl2
a81,1,0.551282,1,0.5,0.666667,Cl2
a82,0.072727,0.038462,0.333333,0,1,Cl1
a83,0.036364,0.858974,1,0.75,0,Cl2
a84,0.072727,1,0,1,0.333333,Cl2
a85,0.072727,0.871795,0,0.25,1,Cl2
a86,0.109091,0.192308,0.666667,0,0,Cl1
a87,0.090909,1,1,1,1,Cl2
a88,0.072727,0.217949,0.666667,0.25,1,Cl1
a89,0.109091,0.512821,1,0.5,0,Cl2
a90,0.054545,0.653846,1,0,0.666667,Cl2
a91,0.072727,0.897436,1,0.75,1,Cl2
a92,0.072727,0.320513,0,0.25,0.666667,Cl1
a93,0,0.564103,1,0,0.666667,Cl2
a94,0.054545,0.833333,0,0.25,0.333333,Cl1
a95,0,0.076923,0,0.25,1,Cl1
a96,0.090909,0.064103,0.666667,0.25,1,Cl1
a97,0.072727,0.371795,0.666667,0,0,Cl1
a98,0.090909,0.871795,1,0.75,0.666667,Cl2
a99,0.036364,0.333333,0,0.25,0.666667,Cl1
a100,0.072727,0.564103,0.333333,0.25,1,Cl1
a101,0.054545,0.423077,1,1,0,Cl2
a102,1,0.269231,0.333333,0,0.666667,Cl1
a103,0.072727,0.666667,0,1,0,Cl2
a104,0,0.769231,1,1,0.666667,Cl2
a105,0.036364,0.487179,0.333333,0,0.666667,Cl1
a106,0.036364,0.448718,1,0,1,Cl1
a107,0.054545,0.74359,0.666667,0.25,0,Cl2
a108,0.036364,0.115385,0,0.25,0,Cl1
a109,0.090909,0.512821,0.666667,0.25,1,Cl2
a110,0.054545,0.012821,1,0.25,0.333333,Cl1
a111,0.072727,0.961538,1,0.75,0,Cl2
a112,0.109091,0.064103,0.333333,1,0,Cl1
a113,0.036364,0.358974,0,1,1,Cl2
a114,0.054545,0.730769,0.333333,0,0,Cl1
a115,0.054545,0.153846,0.333333,0.5,0,Cl1
a116,0,0.192308,0,0.75,0.333333,Cl1
a117,0.090909,0.179487,0,1,0.666667,Cl1
a118,0,0.307692,0.333333,0.25,1,Cl1
a119,0.109091,0.679487,0.333333,0,0,Cl1
a120,0.109091,0.205128,0,0.5,0.666667,Cl1
a121,0.072727,0.230769,0.333333,0.25,1,Cl1
a122,0.072727,0.128205,0.333333,0.25,1,Cl1
a123,0.054545,0.461538,0.666667,0.25,0.333333,Cl1
a124,1,0.692308,1,1,0.666667,Cl2
a125,0.072727,0.269231,0.666667,0.75,0.666667,Cl2
a126,0,0.371795,0.333333,0,0.333333,Cl1
a127,0.036364,0.512821,0.666667,0.75,0.666667,Cl2
a128,0.054545,0.384615,0.666667,1,0.333333,Cl2
a129,1,0.551282,0.333333,0.75,1,Cl2
a130,0.072727,0.576923,0,0.75,0.666667,Cl2
a131,0.090909,0.089744,0.666667,0,1,Cl1
a132,0.109091,0.653846,0.666667,0,0.666667,Cl1
a133,0.109091,0.217949,0.666667,0.75,1,Cl2
a134,0.054545,0.346154,0.333333,0.25,0.666667,Cl1
a135,0.054545,0.551282,0.666667,1,1,Cl2
a136,0.036364,0.192308,0,1,0.666667,Cl1
a137,0.109091,0.679487,1,0,0.333333,Cl2
a138,1,0.153846,1,0.5,0.666667,Cl2
a139,0,0.692308,0,1,0,Cl2
a140,0,0.858974,0.333333,1,0,Cl2
a141,0.054545,0.512821,0.666667,0.75,0.333333,Cl2
a142,0.072727,0.153846,0.333333,0,1,Cl1
a143,0.072727,0.576923,1,0.5,1,Cl2
a144,0,0.730769,0.333333,0.25,0.666667,Cl2
a145,0.036364,0.166667,0,0.75,1,Cl1
a146,1,0.576923,1,0.75,0.333333,Cl2
a147,0.054545,0.205128,0.666667,0,0.333333,Cl1
a148,0.072727,0.730769,0.666667,0,0,Cl1
a149,0.090909,0.294872,0.666667,0.5,1,Cl1
a150,0.054545,0.461538,0,0.25,0.666667,Cl1
a151,0.054545,0.064103,0.666667,0.75,1,Cl1
a152,0.072727,0.653846,0.666667,0.5,0.666667,Cl2
a153,0.072727,0.192308,1,1,0,Cl2
a154,0.054545,0.628205,1,0.25,0.333333,Cl2
a155,0,0.448718,0.666667,0.25,1,Cl1
a156,0.090909,0.410256,0.666667,1,1,Cl2
a157,0.109091,0.641026,1,0.25,0.666667,Cl2
a158,1,0.615385,0.333333,0.75,0.666667,Cl2
a159,0.090909,0.602564,0.333333,0,0,Cl1
a160,0.054545,0.333333,0.666667,0,0.666667,Cl1
a161,0.072727,0.474359,1,0.75,0,Cl2
a162,0.036364,0.294872,1,0.75,1,Cl2
a163,0.054545,0.128205,0.666667,0.5,0,Cl1
a164,1,0.012821,1,0.75,0,Cl2
a165,0.072727,0.423077,0.666667,0.25,0,Cl1
a166,0.090909,0.551282,0.666667,1,0,Cl2
a167,0.090909,0.333333,1,0.75,1,Cl2
a168,1,0.115385,0.666667,0.5,1,Cl2
a169,0.090909,0.435897,0.333333,0,0.333333,Cl1
a170,0.036364,0.897436,0,0,0.666667,Cl1
a171,1,0.692308,1,0.75,0,Cl2
a172,1,0.858974,0.333333,0.5,0,Cl2
a173,0.109091,0.730769,0.333333,0.5,0,Cl2
a174,0.090909,0.346154,0.666667,0.5,1,Cl2
a175,0.090909,0.205128,0,0.25,0.666667,Cl1
a176,0.072727,0.089744,1,0.5,0,Cl1
a177,0.090909,0.897436,0.333333,0.25,0.666667,Cl2
a178,0.036364,0.051282,0.666667,0.75,1,Cl1
a179,0.036364,0.564103,0.333333,0.25,0.666667,Cl1
a180,0.054545,0.74359,1,0,0,Cl2
a181,0.054545,0.615385,0,0.25,0.333333,Cl1
a182,0.109091,0.102564,0.333333,1,1,Cl1
a183,0.036364,0.358974,1,0.75,0.333333,Cl2
a184,0.090909,0.128205,0.333333,0.25,0.333333,Cl1
a185,0.054545,0.346154,0.333333,0.5,1,Cl1
a186,1,0.461538,0,1,0.666667,Cl2
a187,0,0.615385,1,0.75,1,Cl2
a188,0.036364,0.089744,0.666667,1,0.333333,Cl1
a189,0,0.846154,0.666667,0.75,0.666667,Cl2
a190,0.072727,0.551282,1,1,0,Cl2
a191,0,0.205128,0,0,0.333333,Cl1
a192,0.054545,0.166667,0,0.25,1,Cl1
a193,0.109091,0.705128,1,0.25,0.666667,Cl2
a194,0.109091,0.858974,0,0.25,0.333333,Cl1
a195,1,0.089744,0,0.75,0,Cl1
a196,0.054545,0.217949,0.666667,0.25,0,Cl1
a197,0,0.205128,0.666667,0.25,0.333333,Cl1
a198,0.109091,0.294872,0.333333,0.5,0,Cl1
a199,0.090909,0.564103,0.666667,0.5,0.333333,Cl2
a200,0,0.230769,1,1,0.333333,Cl2
a201,1,0.25641,0.333333,0.25,0,Cl1
a202,0.036364,0.858974,0.333333,0.25,0,Cl2
a203,1,0.269231,0,0.25,0,Cl1
a204,1,0.166667,0,0.75,0.333333,Cl1
a205,0,0.602564,0,0.25,0.333333,Cl1
a206,0.109091,0.782051,0.666667,0.25,0.666667,Cl2
a207,0.036364,0.474359,0.666667,0.75,0,Cl2
a208,0.072727,0.269231,0,0,1,Cl1
a209,0,0.25641,1,0.5,1,Cl2
a210,0.109091,0.794872,0.666667,0.25,0,Cl2
a211,0.072727,0.448718,0,1,0,Cl1
a212,0.109091,0.076923,0,0.75,0,Cl1
a213,0.036364,0.782051,0,0.75,0,Cl2
a214,0.109091,0.435897,0,0.5,0.333333,Cl1
a215,0.054545,0.74359,1,0.25,0.666667,Cl2
a216,1,0.602564,1,0,0,Cl2
a217,0.036364,0.192308,0,1,0,Cl1
a218,0.072727,0.24359,0.333333,0,1,Cl1
a219,0.054545,0.538462,0.666667,0.75,0.666667,Cl2
a220,0.036364,0.166667,0,1,0.333333,Cl1
a221,0.072727,0.782051,0.666667,0,0.666667,Cl2
a222,0.109091,0.012821,1,0.75,0.666667,Cl1
a223,0.090909,0.089744,0,0.5,0.666667,Cl1
a224,0.109091,0.551282,0,0.25,0.333333,Cl1
a225,0.072727,0.653846,1,0.25,0.333333,Cl2
a226,0,0.807692,0.333333,0.5,0.333333,Cl2
a227,0,0.089744,0,1,0,Cl1
a228,1,0.102564,1,1,0.333333,Cl2
a229,0,0.397436,0.333333,0.25,0.333333,Cl1
a230,0.036364,0.038462,0,1,0.333333,Cl1
a231,0.072727,0.705128,0.666667,0.25,1,Cl2
a232,0.109091,0,0.666667,0.25,0.666667,Cl1
a233,0.090909,0.525641,1,0.5,0.333333,Cl2
a234,1,0.512821,1,0.75,0,Cl2
a235,0,0.397436,1,0.75,0,Cl2
a236,0,0.858974,1,0,0.666667,Cl2
a237,0.072727,0.307692,0.666667,0.5,1,Cl1
a238,0.054545,1,1,0.5,0.666667,Cl2
a239,0.109091,1,1,1,0.666667,Cl2
a240,0.109091,0.628205,0.333333,0.75,0,Cl2
a241,0.054545,0.602564,0,0.75,1,Cl2
a242,1,0.153846,0,0,0.666667,Cl1
a243,1,0.384615,0.666667,0,0.333333,Cl1
a244,0.072727,0.397436,0.666667,0.25,0.333333,Cl1
a245,0.072727,0.961538,0.333333,1,1,Cl2
a246,1,0.435897,0.666667,0,0.666667,Cl2
a247,0.072727,0.782051,0,0,1,Cl1
a248,0,0.602564,0,0,1,Cl1
a249,0.072727,0.564103,0.666667,0.75,0.666667,Cl2
a250,0.109091,0.282051,0.333333,0.5,0.666667,Cl1
a251,1,0.166667,0.333333,0.25,0.666667,Cl1
a252,0.036364,0.564103,0.333333,0,0.333333,Cl1
a253,0,0.166667,0.666667,0,1,Cl1
a254,0.036364,0.75641,0.333333,0.75,0.666667,Cl2
a255,0.090909,0.74359,1,0.25,1,Cl2
a256,0.054545,1,0,0.75,0,Cl2
a257,0.054545,0.474359,0.333333,0.75,0.333333,Cl1
a258,1,0.371795,1,0.75,0.333333,Cl2
a259,0.072727,0.807692,1,0.75,0,Cl2
a260,0.072727,0.064103,0.333333,0.25,0.666667,Cl1
a261,0.109091,0.166667,0.333333,0.75,1,Cl1
a262,0.090909,0.705128,1,0.25,1,Cl2
a263,0.054545,0.897436,1,0.25,0.333333,Cl2
a264,0.072727,0.346154,1,1,0.666667,Cl2
a265,0.054545,0.833333,0.333333,0,0,Cl1
a266,0.054545,0.064103,1,0,0.666667,Cl1
a267,0.090909,0.846154,1,1,0,Cl2
a268,1,0.833333,1,0.5,0.333333,Cl2
a269,0.109091,0.320513,0,0.5,0.333333,Cl1
a270,0.090909,0.282051,1,0.75,0.333333,Cl2
a271,0.036364,0.089744,1,0.5,0.666667,Cl1
a272,0,0.282051,0.333333,0.75,0.333333,Cl1
a273,0.090909,0.333333,0,0.75,0.666667,Cl1
a274,0.054545,0.858974,0,0,0.666667,Cl1
a275,0.109091,0.282051,1,0.75,0.333333,Cl2
a276,0.109091,0.512821,0,0.5,0.333333,Cl1
a277,0,0.24359,0.333333,1,0.333333,Cl1
a278,0.109091,0.102564,0,0.5,0.666667,Cl1
a279,0.109091,0.769231,1,1,0.666667,Cl2
a280,0.054545,0.846154,1,0.5,0.333333,Cl2
a281,0.054545,0.641026,0,0.75,0.333333,Cl2
a282,0,1,1,0.75,0.666667,Cl2
a283,0.109091,0.679487,0,1,0.333333,Cl2
a284,0.109091,0.089744,0.666667,0,0,Cl1
a285,0.054545,0.884615,1,0,0.333333,Cl2
a286,0.054545,0.692308,0.333333,0.25,1,Cl2
a287,0.109091,0.358974,0,0.5,0.333333,Cl1
a288,0.072727,0.538462,0.333333,0.75,0,Cl1
a289,0.090909,0.423077,0.333333,0,0.666667,Cl1
a290,0.090909,0.846154,1,0.75,0.333333,Cl2
a291,0.090909,0.166667,0.666667,0.75,1,Cl2
a292,0.090909,0.833333,0,1,0.333333,Cl2
a293,0.054545,0.102564,0,0.5,0,Cl1
a294,0.090909,0.064103,0.666667,0,0.666667,Cl1
a295,0.036364,0.807692,0.666667,0.25,1,Cl2
a296,1,0.064103,0.333333,1,0.666667,Cl2
a297,0.109091,0.782051,0,0,1,Cl1
a298,0.054545,0.269231,1,0.25,0.333333,Cl1
a299,0.109091,0.038462,1,1,0,Cl1
a300,0.109091,0.858974,0,0.75,0,Cl2
a301,0.072727,0.230769,0,0,0.333333,Cl1
a302,1,0.294872,1,0.25,1,Cl2
a303,0.090909,0.487179,0,0.75,0.333333,Cl1
a304,0.109091,0.320513,0.666667,1,0.666667,Cl2
a305,0.036364,0.269231,1,0.75,1,Cl2
a306,0.090909,0.371795,0.666667,0.75,0.666667,Cl2
a307,0.109091,0.384615,0.333333,1,0,Cl1
a308,1,0.576923,0.666667,1,1,Cl2
a309,0.054545,0.576923,1,0.5,1,Cl2
a310,0.036364,0.666667,0.666667,0.5,1,Cl2
a311,0.109091,0.807692,1,0.5,0,Cl2
a312,0.036364,0.807692,0.333333,1,1,Cl2
a313,0.036364,0.794872,1,0.75,0.333333,Cl2
a314,0.072727,0.807692,0.666667,0,0.666667,Cl2
a315,1,0.320513,0,1,0.333333,Cl2
a316,0.036364,0,0,1,0.333333,Cl1
a317,0.036364,0.230769,1,0,0,Cl1
a318,1,0.871795,0.333333,1,1,Cl2
a319,0.054545,0.153846,0.333333,0.5,0,Cl1
a320,0.036364,0.384615,0.333333,0.25,0,Cl1
a321,0,0.794872,0.666667,0.5,1,Cl2
a322,0,0.679487,0.666667,0.25,0.333333,Cl2
a323,0.090909,0.564103,0.666667,0.75,0.666667,Cl2
a324,0.036364,0.448718,1,0.25,0.666667,Cl2
a325,0,0.230769,0.333333,0.5,0.333333,Cl1
a326,0.072727,0.320513,0.666667,0,0.333333,Cl1
a327,1,0.294872,1,0.25,0.333333,Cl2
a328,0.109091,0.75641,1,1,0.333333,Cl2
a329,0.036364,0.102564,0.333333,0.75,0.666667,Cl1
a330,0,0.230769,0.333333,0.25,0.666667,Cl1
a331,0.072727,0.858974,0.666667,0.5,0.333333,Cl2
a332,0.036364,0.474359,0,0.5,0.666667,Cl1
a333,0.072727,0.435897,1,0.5,1,Cl2
a334,0.072727,0.448718,0,0,1,Cl1
a335,0,0.576923,0,0.25,0.666667,Cl1
a336,0.109091,0.730769,0.333333,1,1,Cl2
a337,0.054545,0.064103,1,0.5,0,Cl1
a338,0.072727,0.74359,0.333333,0.5,0.666667,Cl2
a339,1,0.717949,0,0.75,0.666667,Cl2
a340,0.109091,0.282051,1,0.75,0,Cl2
a341,0.090909,0.423077,0.333333,1,0.666667,Cl2
a342,1,0.461538,0.666667,0.25,0,Cl2
a343,0.054545,0.5,0,1,0.666667,Cl2
a344,1,0.179487,0.333333,0.5,0.333333,Cl1
a345,0.109091,0.435897,0.666667,0,0.333333,Cl1
a346,0.072727,0.794872,0.333333,0.5,0.666667,Cl2
a347,0.072727,0.230769,0,1,1,Cl1
a348,0.090909,0.25641,0,0.25,0.666667,Cl1
a349,0.090909,0.24359,0.333333,0,1,Cl1
a350,0.054545,0.628205,1,0.25,0,Cl2
a351,0,0.602564,1,0.75,1,Cl2
a352,0.036364,0.102564,0.333333,0.5,0.666667,Cl1
a353,0.036364,0.564103,0.666667,0,0.333333,Cl1
a354,0.090909,0.846154,0.333333,0.25,1,Cl2
a355,0.090909,0.205128,0.666667,0.5,0.333333,Cl1
a356,1,0.5,0,0.5,1,Cl2
a357,0.109091,0.5,0.333333,0.25,0,Cl1
a358,1,0.666667,0.333333,1,0.333333,Cl2
a359,0.072727,0.307692,0,0.5,0.666667,Cl1
a360,0.090909,0.410256,0,0.25,0.666667,Cl1
a361,0,0.589744,1,1,0.333333,Cl2
a362,0.036364,0.576923,0.333333,0,0.666667,Cl1
a363,0.072727,0.75641,0,0.5,0.666667,Cl2
a364,0.109091,0.410256,0,0.25,0,Cl1
a365,0.090909,0.666667,0.333333,1,1,Cl2
a366,1,0.705128,0,0.25,0.333333,Cl2
a367,0,0.564103,1,0.25,1,Cl2
a368,0,0.564103,0.666667,0.25,1,Cl2
a369,0.072727,1,0,0.75,1,Cl2
a370,0.072727,0.423077,1,0,0.333333,Cl1
a371,0,0.769231,0.666667,0.75,1,Cl2
a372,0.072727,0.307692,0,0,1,Cl1
a373,0.109091,0.038462,0.333333,1,0.333333,Cl1
a374,1,0.24359,0,0.75,0,Cl1
a375,0.090909,0.846154,1,0,1,Cl2
a376,0.036364,0,0,1,0.666667,Cl1
a377,0.054545,0.589744,1,1,1,Cl2
a378,0.090909,0.461538,1,0.5,1,Cl2
a379,0.036364,0.75641,0,1,0,Cl2
a380,0.036364,0.192308,1,0.5,0,Cl1
a381,1,0.512821,0.666667,0,0.333333,Cl2
a382,0.072727,0.141026,1,1,0,Cl2
a383,0,0.102564,0.666667,0.5,0.333333,Cl1
a384,0.072727,0.141026,1,0.75,0.333333,Cl1
a385,1,0.448718,0.333333,0.75,0.333333,Cl2
a386,0.109091,0.217949,0.666667,1,0,Cl1
a387,0.090909,0.525641,0,1,1,Cl2
a388,0,0.384615,1,0.5,1,Cl2
a389,0.109091,0.269231,0.333333,0,0,Cl1
a390,0.054545,0.525641,0.666667,0.25,0.666667,Cl1
a391,0.090909,0.089744,1,0.5,0.333333,Cl1
a392,0.090909,0.512821,0.666667,0.5,0.666667,Cl2
a393,0.109091,0.74359,1,0,0.333333,Cl2
a394,0.109091,0.730769,0.666667,0.75,1,Cl2
a395,0.036364,0.884615,1,0.25,0.666667,Cl2
a396,0,0.628205,0.666667,0,0.666667,Cl1
a397,0.072727,0.602564,0,0,0,Cl1
a398,0,0.192308,1,0.75,0.666667,Cl2
a399,0.090909,0.576923,0.666667,0.75,0.666667,Cl2
a400,0.090909,0.371795,0,0.25,0.333333,Cl1
a401,0.036364,0.871795,1,0.5,0,Cl2
a402,0.072727,0.294872,0.333333,1,0,Cl1
a403,0.054545,0.346154,1,0.25,0.333333,Cl1
a404,0.109091,0.461538,1,0.5,0.333333,Cl2
a405,0.090909,0.141026,0,1,1,Cl1
a406,1,0.217949,0.333333,0.75,0.666667,Cl2
a407,0.036364,0.794872,0,0,0,Cl1
a408,0.090909,0.153846,0.666667,0.25,0,Cl1
a409,1,0.333333,0.666667,1,0,Cl2
a410,0,0.371795,1,0.25,0,Cl1
a411,1,0.615385,0,0.25,0.666667,Cl2
